sample	segments	clonality	ploidy	homozygousLoss	segvariance	grid_ploidy	grid_purity	use
IM_210	235	0.221936473005837	3.267	0	0.341883395319387	3.3	1	FALSE
IM_210	235	0.252707012133003	1.577	0.00542372253303061	0.166466124956266	1.6	0.74	FALSE
IM_211	119	0.0627756862889636	1.885	0.0357644609139738	0.138920463580815	1.9	0.8	TRUE
IM_211	119	0.126704240774359	3.773	0.0249267739482989	0.459339335623904	3.8	0.78	FALSE
IM_214	235	0.0832763220955866	1.891	0.00324247135316334	0.104383958671353	1.9	0.88	TRUE
IM_214	235	0.139427289813282	3.882	0.00324247135316334	0.428083692906575	3.9	0.8	FALSE
IM_215	211	0.228434822640233	1.783	0.392292365164748	0.193236586244092	1.8	0.57	FALSE
IM_218	174	0.114826649620536	2.894	0.00873870386491836	0.284859539260497	2.9	0.44	TRUE
IM_219	128	0.211075414544311	2.173	0.00540344190420015	0.188457198037064	2.2	1	FALSE
IM_22	136	0.055129622441289	1.89	0.101469004702765	0.149973260786025	1.9	0.72	TRUE
IM_22	136	0.102463579437284	3.779	0.0140328953998761	0.603454288176609	3.8	0.56	FALSE
IM_220	126	0.0586021516839352	2.572	0.00540396750425111	0.27850408218789	2.6	0.64	TRUE
IM_222	131	0.074321243170351	1.885	0.0108032645575773	0.141633792184908	1.9	0.67	TRUE
IM_223	128	0.140655123364804	1.98	0	0.176025912781214	2	0.72	TRUE
IM_226	262	0.168184833495435	6.445	0	1.09658696397992	6.4	0.94	FALSE
IM_226	262	0.176804805195865	2.083	0	0.110093399474232	2.1	1	FALSE
IM_226	262	0.18344478984277	5.45	0	0.928137746762801	5.4	0.77	FALSE
IM_227	317	0.189953865735321	2.075	0	0.185057923146153	2.1	1	FALSE
IM_227	317	0.192151442457057	5.335	0	1.22364830815007	5.3	1	FALSE
IM_227	317	0.19692277861042	4.441	0	1.01150523742172	4.4	0.83	FALSE
IM_227	317	0.2213722480343	3.548	0	0.80422305527606	3.5	0.72	FALSE
IM_227	317	0.222529045127035	2.964	0	0.377669230910516	3	1	FALSE
IM_229	197	0.0928753633682681	2.689	0.0324984496064775	0.265485496627343	2.7	0.99	TRUE
IM_229	197	0.146232089735164	5.278	0.0324984496064775	1.13546384112803	5.3	0.86	FALSE
IM_23	259	0.0974662225021152	2.091	0.016276147460918	0.155257773355911	2.1	0.82	TRUE
IM_23	259	0.1479710128647	4.282	0	0.672700663332627	4.3	0.67	FALSE
IM_23	259	0.15112593518927	3.282	0.016276147460918	0.637800916150346	3.3	0.52	FALSE
IM_233	246	0.217735478978693	1.565	5.68257875287762	0.330711186692444	1.6	0.41	FALSE
IM_234	69	0.0181795701452758	4.981	0	0.374659242396866	5	0.92	FALSE
IM_234	69	0.0217064018114433	3.983	0	0.300231559577949	4	0.76	FALSE
IM_234	69	0.0253904691721778	2.986	0	0.222265019091711	3	0.67	FALSE
IM_234	69	0.0262385292614933	1.993	0	0.0559832608510535	2	1	FALSE
IM_235	115	0.019556521247178	2.98	0	0.183657414437978	3	0.72	FALSE
IM_235	115	0.0218993543557476	3.979	0	0.205899661861262	4	1	FALSE
IM_235	115	0.0229152902465765	1.982	0	0.153016990087145	2	0.58	FALSE
IM_235	115	0.0377364492915015	4.973	0	0.321718221658222	5	1	FALSE
IM_235	115	0.0477758200541935	5.968	0	0.466399183040698	6	0.99	FALSE
IM_236	107	0.0390397524705193	1.993	0	0.0347203616990991	2	1	FALSE
IM_236	107	0.0447665907147329	2.983	0	0.197794200070989	3	0.53	FALSE
IM_236	107	0.0447720201915357	3.983	0	0.198141817227266	4	0.72	FALSE
IM_236	107	0.045378058762621	4.982	0	0.21700226061937	5	1	FALSE
IM_236	107	0.0578386775079079	5.978	0	0.312483255291892	6	1	FALSE
IM_236	107	0.0736109913465241	6.975	0	0.425324430813964	7	1	FALSE
IM_236	107	0.0794879330593972	7.966	0	0.738810277195502	8	0.62	FALSE
IM_237	77	0.0270441963029943	1.995	0	0.0383466394658651	2	1	FALSE
IM_237	77	0.0314365456730651	5.984	0	0.357335443665292	6	0.95	FALSE
IM_237	77	0.0314621933215462	4.984	0	0.359649536552899	5	0.64	FALSE
IM_237	77	0.0317415787403161	3.985	0	0.327648209400646	4	0.52	FALSE
IM_237	77	0.0335231588072972	2.987	0	0.247556225897866	3	0.49	FALSE
IM_237	77	0.0408854169974514	6.982	0	0.469746333456848	7	1	FALSE
IM_237	77	0.0525042707342559	7.979	0	0.613546231453842	8	1	FALSE
IM_238	93	0.208140087719779	1.59	1.51263962143393	0.134599418445845	1.6	0.67	FALSE
IM_239	189	0.160396025036044	1.694	1.760933860209	0.179967151589079	1.7	0.48	FALSE
IM_240	299	0.19664453917667	1.887	0.739035731228479	0.211185013961812	1.9	0.47	FALSE
IM_243	140	0.0862001194238992	1.888	0.026080540034367	0.182731799319077	1.9	0.43	TRUE
IM_249	181	0.0585850823766996	1.982	0.00539434775661152	0.13430077551542	2	1	FALSE
IM_249	181	0.0827733854062728	2.974	0.00539434775661152	0.302176744909695	3	1	FALSE
IM_25	280	0.116823728037163	3.177	0.0410792727889952	0.373454171328945	3.2	0.53	TRUE
IM_250	481	0.0778921636032259	1.991	0	0.0524237950004066	2	1	FALSE
IM_250	481	0.112480087666843	2.986	0	0.117953538750915	3	1	FALSE
IM_250	481	0.141412762857557	3.982	0	0.209695180001626	4	1	FALSE
IM_250	481	0.161083569980595	4.977	0	0.327648718752541	5	1	FALSE
IM_250	481	0.173723227065548	5.973	0	0.471814155003659	6	1	FALSE
IM_252	94	0.0353179406429509	1.8	0	0.0551745795887807	1.8	0.91	TRUE
IM_252	94	0.0659391649301884	3.6	0	0.222251402395575	3.6	0.83	FALSE
IM_252	94	0.0805702452456215	5.3	0	0.492150138956856	5.3	0.75	FALSE
IM_252	94	0.0810051734405641	7.099	0	0.875282750704633	7.1	0.7	FALSE
IM_253	231	0.167185353339996	2.852	0.0433353953863819	0.360449759072813	2.9	0.65	FALSE
IM_254	158	0.203009874517779	1.986	0	0.128036743270799	2	1	FALSE
IM_255	290	0.115721063510248	2.981	0.032772810679643	0.321893079186893	3	0.74	TRUE
IM_255	290	0.161270756289364	5.862	0.032772810679643	1.22843140691705	5.9	0.6	FALSE
IM_256	279	0.0897138221572542	2.983	0.0327824799466416	0.302040034918374	3	0.8	TRUE
